municipio,ine,lat,lng
Abla,4001,"37,141333","-2,779552"
Abrucena,4002,"37,133339","-2,7966"
Adra,4003,"36,749285","-3,014555"
Albánchez,4004,"37,287141","-2,181433"
Alboloduy,4005,"37,032782","-2,621786"
Albox,4006,"37,389533","-2,147988"
Alcolea,4007,"36,974476","-2,960926"
Alcóntar,4008,"37,335927","-2,597479"
Alcudia de Monteagud,4009,"37,235984","-2,266242"
Alhabia,4010,"36,989457","-2,587275"
Alhama de Almería,4011,"36,957265","-2,570083"
Alicún,4012,"36,966198","-2,602299"
Almería (capital),4013,"36,839804","-2,467585"
Almócita,4014,"37,002779","-2,790385"
Alsodux,4015,"37,001569","-2,594425"
Antas,4016,"37,245247","-1,917422"
Arboleas,4017,"37,350331","-2,074705"
Armuña de Almanzora,4018,"37,350105","-2,411407"
Bacares,4019,"37,260723","-2,453265"
Balanegra,4904,"36,748418","-2,906291"
Bayárcal,4020,"37,029829","-2,99507"
Bayarque,4021,"37,330035","-2,436237"
Bédar,4022,"37,18941","-1,98197"
Beires,4023,"37,012205","-2,791411"
Benahadux,4024,"36,92577","-2,455477"
Benitagla,4026,"37,231074","-2,23845"
Benizalón,4027,"37,211707","-2,241565"
Bentarique,4028,"36,98654","-2,61936"
Berja,4029,"36,846306","-2,949297"
Canjáyar,4030,"37,009703","-2,739648"
Cantoria,4031,"37,352646","-2,193468"
Carboneras,4032,"36,997166","-1,894428"
Castro de Filabres,4033,"37,185199","-2,439819"
Chercos,4036,"37,266342","-2,257902"
Chirivel,4037,"37,595495","-2,26548"
Cóbdar,4034,"37,262086","-2,210081"
Cuevas del Almanzora,4035,"37,29711","-1,881448"
Dalías,4038,"36,821009","-2,870127"
Ejido (El),4902,"36,774866","-2,812757"
Enix,4041,"36,877048","-2,60178"
Felix,4043,"36,868959","-2,657532"
Fines,4044,"37,358753","-2,262863"
Fiñana,4045,"37,171185","-2,840946"
Fondón,4046,"36,979731","-2,858784"
Gádor,4047,"36,954024","-2,493079"
Gallardos (Los),4048,"37,169521","-1,940058"
Garrucha,4049,"37,179377","-1,821953"
Gérgal,4050,"37,120625","-2,53806"
Huécija,4051,"36,968696","-2,610287"
Huércal de Almería,4052,"36,884734","-2,436113"
Huércal-Overa,4053,"37,390506","-1,943777"
Illar,4054,"36,985224","-2,639158"
Instinción,4055,"36,993251","-2,659915"
Laroya,4056,"37,296379","-2,331903"
Láujar de Andarax,4057,"36,994","-2,889521"
Líjar,4058,"37,295227","-2,220068"
Lubrín,4059,"37,215943","-2,067111"
Lucainena de las Torres,4060,"37,040185","-2,200936"
Lúcar,4061,"37,4011","-2,42424"
Macael,4062,"37,332129","-2,304833"
María,4063,"37,711233","-2,165775"
Mojácar,4064,"37,139911","-1,851279"
Mojonera (La),4903,"36,752626","-2,688378"
Nacimiento,4065,"37,105229","-2,647996"
Níjar,4066,"36,965668","-2,206326"
Ohanes,4067,"37,037354","-2,745141"
Olula de Castro,4068,"37,174722","-2,474033"
Olula del Río,4069,"37,352162","-2,298208"
Oria,4070,"37,485139","-2,295063"
Padules,4071,"36,998427","-2,772876"
Partaloa,4072,"37,405958","-2,226582"
Paterna del Río,4073,"37,021575","-2,952771"
Pechina,4074,"36,916373","-2,440549"
Pulpí,4075,"37,409687","-1,746669"
Purchena,4076,"37,348487","-2,360905"
Rágol,4077,"36,995486","-2,681"
Rioja,4078,"36,943907","-2,462431"
Roquetas de Mar,4079,"36,764468","-2,615305"
Santa Cruz de Marchena,4080,"37,016678","-2,603248"
Santa Fe de Mondújar,4081,"36,974847","-2,530658"
Senés,4082,"37,204588","-2,347449"
Serón,4083,"37,343639","-2,508749"
Sierro,4084,"37,32099","-2,399444"
Somontín,4085,"37,392458","-2,388426"
Sorbas,4086,"37,097995","-2,124218"
Suflí,4087,"37,338496","-2,389802"
Tabernas,4088,"37,049633","-2,392651"
Taberno,4089,"37,468207","-2,078566"
Tahal,4090,"37,227697","-2,284702"
Terque,4091,"36,983861","-2,597189"
Tíjola,4092,"37,345251","-2,439779"
Tres Villas (Las),4901,"37,134358","-2,712001"
Turre,4093,"37,152403","-1,894763"
Turrillas,4094,"37,029838","-2,265112"
Uleila del Campo,4095,"37,185045","-2,203628"
Urrácal,4096,"37,397203","-2,365522"
Velefique,4097,"37,193416","-2,402742"
Vélez-Blanco,4098,"37,690814","-2,095522"
Vélez-Rubio,4099,"37,647854","-2,074209"
Vera,4100,"37,246889","-1,868213"
Viator,4101,"36,889754","-2,426383"
Vícar,4102,"36,800205","-2,646388"
Zurgena,4103,"37,342604","-2,039624"
Alcalá de los Gazules,11001,"36,461918","-5,721263"
Alcalá del Valle,11002,"36,905025","-5,173264"
Algar,11003,"36,655279","-5,657568"
Algeciras,11004,"36,131684","-5,447767"
Algodonales,11005,"36,88073","-5,404604"
Arcos de la Frontera,11006,"36,747979","-5,806655"
Barbate,11007,"36,192893","-5,918854"
Barrios (Los),11008,"36,185533","-5,493038"
Benalup-Casas Viejas,11901,"36,346441","-5,812127"
Benaocaz,11009,"36,699493","-5,421256"
Bornos,11010,"36,815414","-5,744811"
Bosque (El),11011,"36,759293","-5,505291"
Cádiz (capital),11012,"36,529539","-6,292913"
Castellar de la Frontera,11013,"36,286044","-5,420114"
Chiclana de la Frontera,11015,"36,419699","-6,149286"
Chipiona,11016,"36,738002","-6,427671"
Conil de la Frontera,11014,"36,277038","-6,088055"
Espera,11017,"36,872679","-5,807175"
Gastor (El),11018,"36,854959","-5,323763"
Grazalema,11019,"36,758926","-5,366331"
Jerez de la Frontera,11020,"36,682877","-6,138431"
Jimena de la Frontera,11021,"36,434101","-5,453467"
Línea de la Concepción (La),11022,"36,160504","-5,351808"
Medina-Sidonia,11023,"36,456057","-5,927587"
Olvera,11024,"36,935369","-5,267563"
Paterna de Rivera,11025,"36,523191","-5,865788"
Prado del Rey,11026,"36,787564","-5,556617"
Puerto de Santa María (El),11027,"36,594655","-6,22782"
Puerto Real,11028,"36,528874","-6,192335"
Puerto Serrano,11029,"36,923848","-5,544358"
Rota,11030,"36,61842","-6,358085"
San Fernando,11031,"36,464911","-6,198771"
San José del Valle,11902,"36,605476","-5,79884"
San Roque,11033,"36,209636","-5,383813"
Sanlúcar de Barrameda,11032,"36,775012","-6,354649"
Setenil de las Bodegas,11034,"36,863958","-5,181404"
Tarifa,11035,"36,011581","-5,602094"
Torre Alháquime,11036,"36,915884","-5,234348"
Trebujena,11037,"36,869573","-6,176709"
Ubrique,11038,"36,677459","-5,443146"
