id,'direccion','tipo'
1,'CALLE RONQUILLO BRICEÑO 10',100
2,'CALLEJA DEL POSADERO 21',100
3,'AVENIDA DEL MEDITERRÁNEO Y CALLE CANTÁBRICO',200
4,'AVENIDA DE LIBIA',200
5,'JARDINES DE LA AGRICULTURA',300
6,'PLAN PARCIAL O7 PARCELA 12 B',400
7,'IGLESIA DE LA TRINIDAD',300
8,'CALLE DON LOPE DE LOS RÍOS 24',100
9,'CALLE FUENTE DE LOS PICADORES 4',300
10,'CALLE JOSE MARÍA VALDENEBRO 35 Y PREVISIÓN 24',500
11,'CALLE MORISCOS 28',100
12,'CALLE JULIO VALDELOMAR ESQUINA CALLE ANTÓN MONTORO',600
13,'AVENIDA DE AMÉRICA 5',100
14,'CALLE RONDA DE MARRUBIAL ESQUINA AGRUPACIÓN DE CÓRDOBA',600
15,'CABALLERIZAS REALES',300
16,'POLIGONO INDUSTRIAL LAS QUEMADAS',200
17,'AVENIDA DE LAS OLLERÍAS',200
18,'CALLE MARÍA CRISTINA 4',100
19,'CALLE PINTOR MARIANO BELMONTE 5',100
20,'CALLE CERRO 3',100
