municipio,codine,lat,lon,altitud
Abla,4001,37.141333,-2.779552,843.47998047
Abrucena,4002,37.133339,-2.7966,972.42999268
Adra,4003,36.749285,-3.014555,4.13999987
Albánchez,4004,37.287141,-2.181433,469.22000122
Alboloduy,4005,37.032782,-2.621786,383.23999023
Albox,4006,37.389533,-2.147988,424.22000122
Alcolea,4007,36.974476,-2.960926,750.25
Alcóntar,4008,37.335927,-2.597479,962.42999268
Alcudia de Monteagud,4009,37.235984,-2.266242,1011.7199707
Alhabia,4010,36.989457,-2.587275,287.86999512
Alhama de Almería,4011,36.957265,-2.570083,517.5300293
Alicún,4012,36.966198,-2.602299,420.98001099
Almería (capital),4013,36.839804,-2.467585,20.46999931
Almócita,4014,37.002779,-2.790385,832.66998291
Alsodux,4015,37.001569,-2.594425,316.82998657
Antas,4016,37.245247,-1.917422,104.95999908
Arboleas,4017,37.350331,-2.074705,280.57000732
Armuña de Almanzora,4018,37.350105,-2.411407,629.22998047
Bacares,4019,37.260723,-2.453265,1190.16003418
Balanegra,4904,36.748418,-2.906291,21.61000061
Bayárcal,4020,37.029829,-2.99507,1254.93994141
Bayarque,4021,37.330035,-2.436237,804.90997314
Bédar,4022,37.18941,-1.98197,388.8500061
Beires,4023,37.012205,-2.791411,929.90997314
Benahadux,4024,36.92577,-2.455477,114.41999817
Benitagla,4026,37.231074,-2.23845,944.53997803
Benizalón,4027,37.211707,-2.241565,926.67999268
Bentarique,4028,36.98654,-2.61936,326.32000732
Berja,4029,36.846306,-2.949297,334.79998779
Canjáyar,4030,37.009703,-2.739648,608.80999756
Cantoria,4031,37.352646,-2.193468,381.86999512
Carboneras,4032,36.997166,-1.894428,11.42000008
Castro de Filabres,4033,37.185199,-2.439819,950.71002197
Chercos,4036,37.266342,-2.257902,793.28997803
Chirivel,4037,37.595495,-2.26548,1036.69995117
Cóbdar,4034,37.262086,-2.210081,605.59997559
Cuevas del Almanzora,4035,37.29711,-1.881448,95.48999786
Dalías,4038,36.821009,-2.870127,411.05999756
Ejido (El),4902,36.774866,-2.812757,72.16999817
Enix,4041,36.877048,-2.60178,710.88000488
Felix,4043,36.868959,-2.657532,810.90002441
Fines,4044,37.358753,-2.262863,446.58999634
Fiñana,4045,37.171185,-2.840946,949.15997314
Fondón,4046,36.979731,-2.858784,845.02001953
Gádor,4047,36.954024,-2.493079,165.57000732
Gallardos (Los),4048,37.169521,-1.940058,115.91000366
Garrucha,4049,37.179377,-1.821953,7.15999985
Gérgal,4050,37.120625,-2.53806,744.35998535
Huécija,4051,36.968696,-2.610287,402.5
Huércal de Almería,4052,36.884734,-2.436113,72.06999969
Huércal-Overa,4053,37.390506,-1.943777,279.61999512
Illar,4054,36.985224,-2.639158,423.32998657
Instinción,4055,36.993251,-2.659915,429.89001465
Laroya,4056,37.296379,-2.331903,872.02001953
Láujar de Andarax,4057,36.994,-2.889521,906.15997314
Líjar,4058,37.295227,-2.220068,590.97998047
Lubrín,4059,37.215943,-2.067111,516.46002197
Lucainena de las Torres,4060,37.040185,-2.200936,549.14001465
Lúcar,4061,37.4011,-2.42424,911.75
Macael,4062,37.332129,-2.304833,538.04998779
María,4063,37.711233,-2.165775,1193.7800293
Mojácar,4064,37.139911,-1.851279,158.33999634
Mojonera (La),4903,36.752626,-2.688378,39.59000015
Nacimiento,4065,37.105229,-2.647996,595.05999756
Níjar,4066,36.965668,-2.206326,353.02999878
Ohanes,4067,37.037354,-2.745141,952.26000977
Olula de Castro,4068,37.174722,-2.474033,989.11999512
Olula del Río,4069,37.352162,-2.298208,490.1499939
Oria,4070,37.485139,-2.295063,1037.47998047
Padules,4071,36.998427,-2.772876,738.71002197
Partaloa,4072,37.405958,-2.226582,548.36999512
Paterna del Río,4073,37.021575,-2.952771,1197.20996094
Pechina,4074,36.916373,-2.440549,106.29000092
Pulpí,4075,37.409687,-1.746669,191.16000366
Purchena,4076,37.348487,-2.360905,532.32000732
Rágol,4077,36.995486,-2.681,402.29998779
Rioja,4078,36.943907,-2.462431,130.3999939
Roquetas de Mar,4079,36.764468,-2.615305,7.44999981
Santa Cruz de Marchena,4080,37.016678,-2.603248,328.85998535
Santa Fe de Mondújar,4081,36.974847,-2.530658,216.02999878
Senés,4082,37.204588,-2.347449,1013.09997559
Serón,4083,37.343639,-2.508749,800.28997803
Sierro,4084,37.32099,-2.399444,751.90997314
Somontín,4085,37.392458,-2.388426,827.98999023
Sorbas,4086,37.097995,-2.124218,402.30999756
Suflí,4087,37.338496,-2.389802,633.08001709
Tabernas,4088,37.049633,-2.392651,403.77999878
Taberno,4089,37.468207,-2.078566,700.47998047
Tahal,4090,37.227697,-2.284702,1011.67999268
Terque,4091,36.983861,-2.597189,277.83999634
Tíjola,4092,37.345251,-2.439779,680.95001221
Tres Villas (Las),4901,37.134358,-2.712001,686.23999023
Turre,4093,37.152403,-1.894763,48.06999969
Turrillas,4094,37.029838,-2.265112,838.67999268
Uleila del Campo,4095,37.185045,-2.203628,619.21002197
Urrácal,4096,37.397203,-2.365522,734.70001221
Velefique,4097,37.193416,-2.402742,903.10998535
Vélez-Blanco,4098,37.690814,-2.095522,1069.4699707
Vélez-Rubio,4099,37.647854,-2.074209,833.80999756
Vera,4100,37.246889,-1.868213,96.16000366
Viator,4101,36.889754,-2.426383,69.87999725
Vícar,4102,36.800205,-2.646388,105.84999847
Zurgena,4103,37.342604,-2.039624,241.02000427
Alcalá de los Gazules,11001,36.461918,-5.721263,167.00999451
Alcalá del Valle,11002,36.905025,-5.173264,618.86999512
Algar,11003,36.655279,-5.657568,205.30000305
