gidmp,pob_tot
2554,8
2561,26
2567,5
2572,65
2577,11
2582,23
2586,6
2592,6
2593,19
2603,16
2610,38
7229,73
7230,119
7231,201
7232,-1
7233,7
7234,12
7235,19
7236,152
7237,288
7238,101
7239,90
7240,118
7241,30
7242,-1
7243,39
7244,14
7245,39
7246,649
7247,63
7248,27
7249,7
7250,10
7251,-1
7252,23
7253,38
7254,10
7255,-1
7256,24
7257,39
7258,454
7259,25
7260,29
7261,11
7262,5
7263,81
7265,31
7266,7
7267,15
7268,69
7269,11
7270,297
7271,39
7272,35
7273,26
7274,28
7275,23
7276,-1
7277,26
7278,33
7279,-1
7280,13
7281,20
7282,-1
7283,33
7284,26
7285,-1
7286,11
7287,38
7288,33
7289,13
7290,5
7291,7
7292,15
7293,5
7294,27
7295,140
7296,19
7297,51
7298,57
7299,15
7300,5
7301,22
7302,49
7303,9
7304,23
7305,60
7306,25
7308,31
7309,-1
7310,31
7311,54
7312,-1
7313,52
7314,48
7315,-1
7316,10
7318,-1
7319,9
7320,16
7321,-1
7322,8
7323,32
7325,8
7326,11
7327,-1
7328,12
7329,20
7330,7
7331,50
7332,113
7333,28
7334,31
7335,21
7336,10
7337,17
7338,16
7339,38
7340,-1
7341,5
7342,39
7343,-1
7344,32
7345,9
7346,102
7347,150
7348,66
7349,78
7350,85
7351,38
7352,42
7353,54
7354,25
7355,40
7356,30
7357,39
7358,49
7359,5
7360,39
7361,14
7362,30
7363,20
7364,115
7365,427
7366,97
7367,165
7368,-1
7369,36
7370,50
7371,41
7372,33
7373,24
7374,42
7375,24
7376,67
7377,27
7378,25
7379,41
7380,13
7381,7
7382,9
7383,22
7384,145
7385,311
7386,80
7387,27
7388,7
7389,152
7390,6
7391,53
7392,111
7393,103
7394,119
7395,17
7396,75
7397,14
7398,21
7399,8
7400,237
7401,27
7402,-1
7403,37
7404,41
7405,52
7406,69
7407,105
7408,86
7409,59
7410,82
7411,92
7412,104
7413,46
7414,76
7415,41
7416,-1
7417,76
7418,7
7419,44
7420,82
7421,36
7422,591
7423,-1
7424,10
7425,5
7426,91
7427,159
7428,176
7429,82
7430,66
7431,77
7432,137
7433,128
7434,134
7435,112
7436,80
7437,11
7438,41
7439,24
7440,54
7441,346
7442,159
7443,17
7444,14
7445,36
7446,5
7447,5
7448,-1
7449,27
7450,67
7451,144
7452,74
7453,89
7454,76
7455,69
7456,86
7457,169
7458,111
7459,239
7460,592
7461,1042
7462,168
7463,590
7464,7
7465,53
7466,19
7467,366
7468,83
7469,85
7470,166
7471,89
7472,31
7473,113
7474,99
7475,56
7476,-1
7477,6
7478,424
7479,114
7480,24
7481,14
7482,19
7483,59
7484,294
7485,284
7486,98
7487,125
7488,89
7489,23
7490,98
7491,76
7492,230
7493,562
7494,401
7495,143
7496,31
7497,-1
7498,16
7500,50
7501,246
7502,-1
7503,58
7504,56
7505,91
7506,60
7507,113
7508,107
7509,189
7510,1596
7511,1003
7512,470
7513,8
7514,13
7515,19
7516,156
7517,-1
7518,15
7519,60
7520,73
7521,59
7522,80
7523,102
7524,181
7525,83
7526,125
7527,197
7528,283
7529,745
7530,34
7531,69
7532,691
7533,231
7534,94
7536,152
7537,138
7538,126
7539,83
7540,80
7541,65
7542,105
7543,5
7544,213
7545,10
7546,-1
7547,50
7548,19
7549,125
7550,-1
7551,227
7552,610
7553,238
7554,7
7555,78
7556,124
7557,74
7558,412
7559,347
7560,174
7561,102
7562,520
7563,-1
7564,9
7565,-1
7566,-1
7567,16
7568,8
7569,5
7570,65
7571,423
7572,507
7573,719
7574,1188
7575,1107
7576,70
7577,370
7578,580
7579,928
7580,1769
7581,2066
7582,62
7583,44
7584,-1
7585,5
7586,306
7587,268
7588,-1
7589,165
7590,777
7591,911
7592,1702
7593,1772
7594,1125
7595,523
7596,625
7597,1652
7598,2665
7599,2492
7600,2098
7601,98
7602,146
7603,939
7604,186
7605,2066
7606,1824
7607,269
7608,2164
7609,688
7610,1223
7611,1241
7612,1746
7613,1814
7614,1202
7615,1287
7616,834
7617,1659
7618,1713
7619,1393
7620,1144
7621,406
7622,932
7623,1334
7624,874
7625,2494
7626,3156
7627,315
7628,676
7629,177
7630,1609
7631,1132
7632,2750
7633,883
7634,1343
7635,1152
7636,2048
7637,703
7638,352
7639,578
7640,1074
7641,867
7642,759
7643,1817
7644,2123
7645,1564
7646,1438
7647,811
7648,1615
7649,1078
7650,-1
7651,77
7652,274
7653,1314
7654,1014
7655,1325
7656,648
7657,1815
7658,1133
7659,979
7660,338
7661,831
7662,261
7663,333
7664,275
7665,891
7666,1038
7667,1040
7668,1410
7669,1805
7670,1663
7671,1474
7672,1590
7673,938
7674,1565
7675,2987
7676,2113
7677,254
7678,20
7679,36
7680,6
7683,5
7684,776
7685,81
7686,286
7687,447
7688,16
7689,237
7690,1281
7691,110
7692,692
7693,719
7694,1754
7695,1164
7696,654
7697,1464
7698,1385
7699,850
7700,1081
7701,1012
7702,1306
7703,1306
7704,2105
7705,2280
7706,2537
7707,1687
7708,1432
7709,1070
7710,-1
7711,6
7712,38
7713,6
7714,6
7717,549
7718,2079
7719,1429
7720,197
7721,303
7722,-1
7723,220
7724,818
7725,1642
7726,1641
7727,2321
7728,599
7729,803
7730,1062
7731,1022
7732,758
7733,1115
7734,1347
7735,1042
7736,1488
7737,3132
7738,989
7739,746
7740,857
7741,812
7742,436
7744,-1
7745,10
7746,59
7747,27
7748,-1
7749,46
7750,209
7751,53
7752,-1
7753,32
7754,50
7755,404
7756,1282
7757,1730
7758,2355
7759,2006
7760,287
7761,1004
7762,867
7763,1072
7764,822
7765,1137
7766,1029
7767,1486
7768,1175
7769,587
7770,685
7771,949
7772,761
7773,15
7774,91
7776,11
